"time","psource.tlm.q [m^3/s]","psource.tlm.p [Pa]","prv.tlm.q [m^3/s]","prv.tlm.p [Pa]"
0.3068,-0.000145679,1.88993e+07,6.05867e-05,1.89406e+07
0.3078,-0.000148576,1.88362e+07,6.18314e-05,1.88783e+07
0.3088,-0.000151375,1.8772e+07,6.30345e-05,1.88149e+07
0.3098,-0.000154081,1.87066e+07,6.41972e-05,1.87503e+07
0.3108,-0.000156696,1.86401e+07,6.5321e-05,1.86845e+07
0.3118,-0.000159222,1.85726e+07,6.64069e-05,1.86177e+07
0.3128,-0.000161664,1.85041e+07,6.74563e-05,1.85499e+07
0.3138,-0.000164023,1.84346e+07,6.84703e-05,1.84811e+07
0.3148,-0.000166302,1.83641e+07,6.945e-05,1.84113e+07
0.3158,-0.000168503,1.82928e+07,7.03964e-05,1.83406e+07
0.3168,-0.00017063,1.82205e+07,7.13105e-05,1.82689e+07
0.3178,-0.000172683,1.81474e+07,7.21934e-05,1.81964e+07
0.3188,-0.000174666,1.80735e+07,7.3046e-05,1.81231e+07
0.3198,-0.00017658,1.79988e+07,7.38691e-05,1.80489e+07
0.3208,-0.000178427,1.79233e+07,7.46636e-05,1.7974e+07
0.3218,-0.000180209,1.78471e+07,7.54304e-05,1.78983e+07
0.3228,-0.000181929,1.77702e+07,7.61701e-05,1.78218e+07
0.3238,-0.000183587,1.76926e+07,7.68837e-05,1.77447e+07
0.3248,-0.000185186,1.76143e+07,7.75718e-05,1.76669e+07
0.3258,-0.000186727,1.75354e+07,7.8235e-05,1.75884e+07
0.3268,-0.000188211,1.74559e+07,7.88742e-05,1.75093e+07
0.3278,-0.00018964,1.73758e+07,7.94898e-05,1.74296e+07
0.3288,-0.000191016,1.72951e+07,8.00826e-05,1.73493e+07
0.3298,-0.00019234,1.72138e+07,8.0653e-05,1.72685e+07
0.3308,-0.000193613,1.71321e+07,8.12018e-05,1.71871e+07
0.3318,-0.000194837,1.70498e+07,8.17293e-05,1.71051e+07
0.3328,-0.000196012,1.69671e+07,8.22362e-05,1.70227e+07
0.3338,-0.000197139,1.68839e+07,8.27229e-05,1.69398e+07
0.3348,-0.000198221,1.68002e+07,8.319e-05,1.68565e+07
0.3358,-0.000199258,1.67161e+07,8.36378e-05,1.67727e+07
0.3368,-0.000200251,1.66316e+07,8.40668e-05,1.66885e+07
0.3378,-0.0002012,1.65467e+07,8.44774e-05,1.66038e+07
0.3388,-0.000202108,1.64614e+07,8.48701e-05,1.65188e+07
0.3398,-0.000202974,1.63758e+07,8.52452e-05,1.64335e+07
0.3408,-0.0002038,1.62898e+07,8.56031e-05,1.63477e+07
0.3418,-0.000204587,1.62035e+07,8.59442e-05,1.62617e+07
0.3428,-0.000205334,1.61169e+07,8.62688e-05,1.61753e+07
0.3438,-0.000206044,1.60301e+07,8.65772e-05,1.60886e+07
