"time","hydraulics.tlm.x [m]","hydraulics.tlm.v [m/s]","hydraulics.tlm.F [N]","mechanics.x","mechanics.tlm.x [m]","mechanics.tlm.v [m/s]","mechanics.tlm.F [N]","controller.u"
0.316,0.00208933,-0.000977581,9992.21,0.00618876,0.00618947,-0.000836924,-9976.08,-3.11057e-05
0.318,0.00208773,-0.000944644,9992.37,0.00618742,0.00618808,-0.000798296,-9976.06,-3.10985e-05
0.32,0.00208622,-0.00085925,9989.9,0.00618615,0.00618677,-0.000751389,-9978.6,-3.10918e-05
0.322,0.00208479,-0.000738603,9985.75,0.00618493,0.00618552,-0.00069911,-9982.78,-3.10854e-05
0.324,0.00208344,-0.000610869,9981.31,0.00618378,0.00618433,-0.000646839,-9987.21,-3.10793e-05
0.326,0.00208217,-0.000505735,9978,0.00618268,0.00618321,-0.000600536,-9990.53,-3.10735e-05
0.328,0.00208096,-0.000445038,9976.8,0.00618162,0.00618214,-0.000564789,-9991.77,-3.10679e-05
0.33,0.00207981,-0.000436354,9977.98,0.00618062,0.00618112,-0.000541406,-9990.68,-3.10626e-05
0.332,0.0020787,-0.000471399,9981.06,0.00617965,0.00618014,-0.000528957,-9987.73,-3.10576e-05
0.334,0.00207762,-0.000529433,9984.99,0.00617873,0.0061792,-0.000523349,-9983.96,-3.10527e-05
0.336,0.00207658,-0.000584356,9988.51,0.00617784,0.00617829,-0.000519203,-9980.59,-3.10481e-05
0.338,0.00207557,-0.000613066,9990.57,0.00617699,0.00617742,-0.000511557,-9978.65,-3.10437e-05
0.34,0.00207459,-0.000602425,9990.61,0.00617616,0.00617657,-0.000497341,-9978.67,-3.10394e-05
0.342,0.00207365,-0.000552735,9988.76,0.00617536,0.00617575,-0.000476183,-9980.54,-3.10352e-05
0.344,0.00207274,-0.000476852,9985.71,0.00617458,0.00617496,-0.000450335,-9983.59,-3.10312e-05
0.346,0.00207187,-0.000395451,9982.47,0.00617382,0.00617419,-0.000423789,-9986.81,-3.10273e-05
0.348,0.00207102,-0.000330129,9980.07,0.00617308,0.00617344,-0.000400897,-9989.19,-3.10235e-05
0.35,0.00207021,-0.000296617,9979.22,0.00617235,0.00617271,-0.000384971,-9990.04,-3.10197e-05
0.352,0.00206941,-0.00030019,9980.1,0.00617164,0.006172,-0.000377271,-9989.2,-3.10161e-05
0.354,0.00206863,-0.000334585,9982.35,0.00617095,0.0061713,-0.000376705,-9987.02,-3.10125e-05
0.356,0.00206786,-0.00038457,9985.19,0.00617027,0.00617061,-0.000380267,-9984.26,-3.1009e-05
0.358,0.0020671,-0.000431152,9987.72,0.0061696,0.00616994,-0.000384058,-9981.81,-3.10056e-05
0.36,0.00206635,-0.000457661,9989.17,0.00616894,0.00616927,-0.000384521,-9980.41,-3.10022e-05
0.362,0.00206561,-0.000454778,9989.16,0.0061683,0.00616862,-0.000379509,-9980.45,-3.09989e-05
0.364,0.00206488,-0.000422999,9987.77,0.00616766,0.00616797,-0.000368859,-9981.83,-3.09957e-05
0.366,0.00206418,-0.000371911,9985.52,0.00616703,0.00616734,-0.000354311,-9984.06,-3.09925e-05
0.368,0.00206348,-0.000316694,9983.16,0.00616641,0.00616671,-0.000338852,-9986.38,-3.09893e-05
0.37,0.00206281,-0.000273078,9981.42,0.00616579,0.00616609,-0.000325707,-9988.09,-3.09862e-05
0.372,0.00206214,-0.000252419,9980.83,0.00616518,0.00616548,-0.000317309,-9988.68,-3.09831e-05
0.374,0.00206149,-0.000258405,9981.49,0.00616458,0.00616488,-0.00031458,-9988.03,-3.098e-05
0.376,0.00206084,-0.000286333,9983.13,0.00616398,0.00616428,-0.00031672,-9986.43,-3.0977e-05
0.378,0.00206019,-0.000325028,9985.2,0.00616339,0.00616369,-0.000321538,-9984.41,-3.0974e-05
0.38,0.00205955,-0.000360671,9987.02,0.0061628,0.0061631,-0.000326205,-9982.63,-3.0971e-05
0.382,0.00205891,-0.000381227,9988.05,0.00616222,0.00616251,-0.000328157,-9981.64,-3.09681e-05
0.384,0.00205827,-0.000380073,9988.01,0.00616165,0.00616193,-0.000325866,-9981.69,-3.09652e-05
0.386,0.00205764,-0.000357745,9986.97,0.00616108,0.00616136,-0.000319254,-9982.71,-3.09623e-05
0.388,0.00205703,-0.000321362,9985.32,0.00616051,0.00616079,-0.000309623,-9984.33,-3.09594e-05
0.39,0.00205642,-0.000282039,9983.6,0.00615994,0.00616022,-0.000299173,-9986.01,-3.09566e-05
0.392,0.00205582,-0.000251208,9982.35,0.00615938,0.00615966,-0.000290258,-9987.24,-3.09537e-05
0.394,0.00205523,-0.000237046,9981.93,0.00615883,0.0061591,-0.000284648,-9987.64,-3.09509e-05
0.396,0.00205465,-0.000242114,9982.43,0.00615827,0.00615855,-0.000283006,-9987.15,-3.09481e-05
0.398,0.00205407,-0.000262877,9983.63,0.00615773,0.006158,-0.000284741,-9985.97,-3.09453e-05
0.4,0.00205349,-0.000291138,9985.14,0.00615718,0.00615746,-0.000288262,-9984.49,-3.09426e-05
0.402,0.00205291,-0.000316847,9986.45,0.00615665,0.00615692,-0.000291524,-9983.21,-3.09398e-05
0.404,0.00205234,-0.000331319,9987.18,0.00615611,0.00615638,-0.000292687,-9982.5,-3.09371e-05
0.406,0.00205177,-0.000329856,9987.13,0.00615558,0.00615585,-0.000290676,-9982.55,-3.09345e-05
0.408,0.00205121,-0.000312977,9986.36,0.00615506,0.00615532,-0.000285467,-9983.3,-3.09318e-05
0.41,0.00205065,-0.000285966,9985.15,0.00615453,0.00615479,-0.000278036,-9984.49,-3.09292e-05
0.412,0.0020501,-0.000256956,9983.9,0.00615402,0.00615427,-0.000269997,-9985.71,-3.09265e-05
0.414,0.00204956,-0.00023425,9983,0.0061535,0.00615375,-0.000263066,-9986.59,-3.09239e-05
0.416,0.00204903,-0.000223728,9982.71,0.00615299,0.00615324,-0.000258518,-9986.87,-3.09213e-05
0.418,0.00204851,-0.000227155,9983.08,0.00615248,0.00615274,-0.000256818,-9986.49,-3.09188e-05
0.42,0.00204798,-0.000241869,9983.96,0.00615198,0.00615223,-0.000257519,-9985.62,-3.09162e-05
0.422,0.00204746,-0.000261849,9985.06,0.00615148,0.00615173,-0.000259453,-9984.55,-3.09137e-05
0.424,0.00204694,-0.00027978,9986.01,0.00615099,0.00615124,-0.000261134,-9983.62,-3.09112e-05
0.426,0.00204643,-0.00028939,9986.53,0.0061505,0.00615075,-0.000261236,-9983.11,-3.09087e-05
0.428,0.00204592,-0.000287343,9986.47,0.00615002,0.00615026,-0.000258996,-9983.16,-3.09063e-05
0.43,0.00204542,-0.000274109,9985.9,0.00614954,0.00614978,-0.000254421,-9983.72,-3.09038e-05
0.432,0.00204492,-0.000253604,9985.02,0.00614907,0.0061493,-0.00024824,-9984.58,-3.09014e-05
0.434,0.00204443,-0.000231781,9984.11,0.0061486,0.00614883,-0.00024164,-9985.47,-3.08991e-05
0.436,0.00204395,-0.000214666,9983.46,0.00614813,0.00614836,-0.000235871,-9986.1,-3.08967e-05
0.438,0.00204347,-0.000206487,9983.26,0.00614767,0.0061479,-0.000231854,-9986.29,-3.08944e-05
0.44,0.002043,-0.000208457,9983.54,0.00614721,0.00614744,-0.000229913,-9986.01,-3.0892e-05
0.442,0.00204254,-0.000218572,9984.19,0.00614676,0.00614699,-0.000229713,-9985.37,-3.08897e-05
0.444,0.00204207,-0.00023241,9984.99,0.00614631,0.00614654,-0.000230393,-9984.59,-3.08875e-05
0.446,0.00204162,-0.000244644,9985.67,0.00614587,0.0061461,-0.000230872,-9983.91,-3.08852e-05
0.448,0.00204116,-0.000250746,9986.04,0.00614544,0.00614565,-0.000230191,-9983.55,-3.0883e-05
0.45,0.00204071,-0.000248344,9985.99,0.006145,0.00614522,-0.000227806,-9983.6,-3.08808e-05
0.452,0.00204026,-0.000237846,9985.57,0.00614458,0.00614479,-0.000223735,-9984.01,-3.08786e-05
0.454,0.00203983,-0.00022215,9984.92,0.00614415,0.00614436,-0.000218521,-9984.64,-3.08765e-05
0.456,0.0020394,-0.000205607,9984.26,0.00614374,0.00614394,-0.000213032,-9985.29,-3.08744e-05
0.458,0.00203897,-0.000192591,9983.8,0.00614332,0.00614353,-0.000208176,-9985.74,-3.08723e-05
0.46,0.00203855,-0.000186137,9983.66,0.00614291,0.00614312,-0.000204617,-9985.87,-3.08702e-05
0.462,0.00203814,-0.000187076,9983.87,0.00614251,0.00614271,-0.000202581,-9985.66,-3.08681e-05
0.464,0.00203773,-0.0001939,9984.35,0.00614211,0.00614231,-0.000201813,-9985.19,-3.08661e-05
0.466,0.00203733,-0.000203363,9984.93,0.00614172,0.00614192,-0.000201683,-9984.62,-3.08641e-05
0.468,0.00203692,-0.000211586,9985.42,0.00614133,0.00614152,-0.000201402,-9984.13,-3.08621e-05
0.47,0.00203653,-0.000215297,9985.69,0.00614094,0.00614114,-0.000200277,-9983.87,-3.08602e-05
0.472,0.00203613,-0.000212816,9985.64,0.00614056,0.00614075,-0.000197922,-9983.91,-3.08582e-05
0.474,0.00203575,-0.000204483,9985.33,0.00614019,0.00614037,-0.000194359,-9984.22,-3.08563e-05
0.476,0.00203537,-0.000192443,9984.86,0.00613982,0.00614,-0.000189989,-9984.68,-3.08544e-05
0.478,0.00203499,-0.000179875,9984.38,0.00613945,0.00613963,-0.000185448,-9985.15,-3.08526e-05
0.48,0.00203462,-0.000169953,9984.04,0.00613909,0.00613927,-0.000181395,-9985.47,-3.08507e-05
0.482,0.00203426,-0.000164854,9983.95,0.00613873,0.00613891,-0.000178306,-9985.56,-3.08489e-05
0.484,0.0020339,-0.000165143,9984.11,0.00613838,0.00613856,-0.000176338,-9985.4,-3.08471e-05
0.486,0.00203354,-0.000169686,9984.46,0.00613803,0.00613821,-0.000175297,-9985.06,-3.08454e-05
0.488,0.00203319,-0.000176101,9984.88,0.00613769,0.00613786,-0.000174721,-9984.64,-3.08436e-05
0.49,0.00203284,-0.000181563,9985.24,0.00613735,0.00613752,-0.000174033,-9984.29,-3.08419e-05
0.492,0.0020325,-0.000183709,9985.43,0.00613702,0.00613718,-0.000172733,-9984.11,-3.08402e-05
0.494,0.00203216,-0.000181347,9985.39,0.00613669,0.00613685,-0.000170546,-9984.14,-3.08385e-05
