"time","SineAndStep.out2","SineAndStep.out1","Ramp.out","MultiplyAndAdd.out2","MultiplyAndAdd.out1","Gain.out"
0.191,0,-0.173891,1.2275,0.646746,0.646746,2.22815
0.192,0,-0.22245,1.23,0.595497,0.595497,2.19705
0.193,0,-0.271008,1.2325,0.544248,0.544248,2.16594
0.194,0,-0.319566,1.235,0.492999,0.492999,2.13483
0.195,0,-0.368125,1.2375,0.441749,0.441749,2.10372
0.196,0,-0.412057,1.24,0.383793,0.383793,2.04512
0.197,0,-0.455989,1.2425,0.325836,0.325836,1.98652
0.198,0,-0.499921,1.245,0.26788,0.26788,1.92791
0.199,0,-0.543853,1.2475,0.209923,0.209923,1.86931
0.2,0,-0.587785,1.25,0.151967,0.151967,1.81071
0.201,0,-0.624331,1.2525,0.0908666,0.0908666,1.72776
0.202,0,-0.660876,1.255,0.0297666,0.0297666,1.64482
0.203,0,-0.697422,1.2575,-0.0313333,-0.0313333,1.56188
0.204,0,-0.733968,1.26,-0.0924333,-0.0924333,1.47893
0.205,0,-0.770513,1.2625,-0.153533,-0.153533,1.39599
0.206,0,-0.797376,1.265,-0.213937,-0.213937,1.29349
0.207,0,-0.824239,1.2675,-0.274342,-0.274342,1.19099
0.208,0,-0.851102,1.27,-0.334746,-0.334746,1.0885
0.209,0,-0.877964,1.2725,-0.39515,-0.39515,0.985997
0.21,0,-0.904827,1.275,-0.455554,-0.455554,0.883499
0.211,0,-0.920319,1.2775,-0.51139,-0.51139,0.767586
0.212,0,-0.935811,1.28,-0.567225,-0.567225,0.651673
0.213,0,-0.951303,1.2825,-0.623061,-0.623061,0.535759
0.214,0,-0.966795,1.285,-0.678896,-0.678896,0.419846
0.215,0,-0.982287,1.2875,-0.734732,-0.734732,0.303933
0.216,0,-0.985435,1.29,-0.78234,-0.78234,0.181733
0.217,0,-0.988583,1.2925,-0.829948,-0.829948,0.0595333
0.218,0,-0.991731,1.295,-0.877556,-0.877556,-0.0626666
0.219,0,-0.994879,1.2975,-0.925165,-0.925165,-0.184867
0.22,0,-0.998027,1.3,-0.972773,-0.972773,-0.307066
0.221,0,-0.988633,1.3025,-1.00895,-1.00895,-0.427875
0.222,0,-0.979239,1.305,-1.04513,-1.04513,-0.548683
0.223,0,-0.969845,1.3075,-1.0813,-1.0813,-0.669492
0.224,0,-0.960451,1.31,-1.11748,-1.11748,-0.7903
0.225,0,-0.951057,1.3125,-1.15365,-1.15365,-0.911108
0.226,0,-0.929711,1.315,-1.17586,-1.17586,-1.02278
0.227,0,-0.908365,1.3175,-1.19807,-1.19807,-1.13445
0.228,0,-0.887019,1.32,-1.22028,-1.22028,-1.24612
0.229,0,-0.865674,1.3225,-1.24249,-1.24249,-1.35779
0.23,0,-0.844328,1.325,-1.26469,-1.26469,-1.46946
0.231,0,-0.812372,1.3275,-1.27124,-1.27124,-1.56468
0.232,0,-0.780416,1.33,-1.27779,-1.27779,-1.6599
0.233,0,-0.748459,1.3325,-1.28434,-1.28434,-1.75511
0.234,0,-0.716503,1.335,-1.29089,-1.29089,-1.85033
0.235,0,-0.684547,1.3375,-1.29743,-1.29743,-1.94555
0.236,0,-0.643988,1.34,-1.2876,-1.2876,-2.0179
0.237,0,-0.60343,1.3425,-1.27777,-1.27777,-2.09025
0.238,0,-0.562871,1.345,-1.26793,-1.26793,-2.1626
0.239,0,-0.522312,1.3475,-1.2581,-1.2581,-2.23496
0.24,0,-0.481754,1.35,-1.24826,-1.24826,-2.30731
0.241,0,-0.435141,1.3525,-1.22236,-1.22236,-2.35173
0.242,0,-0.388528,1.355,-1.19645,-1.19645,-2.39614
0.243,0,-0.341915,1.3575,-1.17055,-1.17055,-2.44056
0.244,0,-0.295303,1.36,-1.14464,-1.14464,-2.48497
0.245,0,-0.24869,1.3625,-1.11873,-1.11873,-2.52939
0.246,0,-0.198952,1.365,-1.0781,-1.0781,-2.54249
0.247,0,-0.149214,1.3675,-1.03747,-1.03747,-2.55558
0.248,0,-0.099476,1.37,-0.996843,-0.996843,-2.56868
0.249,0,-0.049738,1.3725,-0.956212,-0.956212,-2.58177
0.25,0,7.60022e-15,1.375,-0.915582,-0.915582,-2.59487
0.251,0,0.049738,1.3775,-0.862539,-0.862539,-2.5752
0.252,0,0.099476,1.38,-0.809496,-0.809496,-2.55553
0.253,0,0.149214,1.3825,-0.756453,-0.756453,-2.53586
0.254,0,0.198952,1.385,-0.70341,-0.70341,-2.51619
0.255,0,0.24869,1.3875,-0.650367,-0.650367,-2.49652
0.256,0,0.295303,1.39,-0.588062,-0.588062,-2.44471
0.257,0,0.341915,1.3925,-0.525756,-0.525756,-2.3929
0.258,0,0.388528,1.395,-0.463451,-0.463451,-2.34109
0.259,0,0.435141,1.3975,-0.401145,-0.401145,-2.28928
0.26,0,0.481754,1.4,-0.33884,-0.33884,-2.23747
0.261,0,0.522312,1.4025,-0.271072,-0.271072,-2.15621
0.262,0,0.562871,1.405,-0.203304,-0.203304,-2.07495
0.263,0,0.60343,1.4075,-0.135536,-0.135536,-1.99369
0.264,0,0.643988,1.41,-0.067768,-0.067768,-1.91242
0.265,0,0.684547,1.4125,1.04848e-14,1.04848e-14,-1.83116
0.266,0,0.716503,1.415,0.0690114,0.0690114,-1.72508
0.267,0,0.748459,1.4175,0.138023,0.138023,-1.61899
0.268,0,0.780416,1.42,0.207034,0.207034,-1.51291
0.269,0,0.812372,1.4225,0.276046,0.276046,-1.40682
0.27,0,0.844328,1.425,0.345057,0.345057,-1.30073
0.271,0,0.865674,1.4275,0.410937,0.410937,-1.17612
0.272,0,0.887019,1.43,0.476816,0.476816,-1.05151
0.273,0,0.908365,1.4325,0.542696,0.542696,-0.926902
0.274,0,0.929711,1.435,0.608576,0.608576,-0.802291
0.275,0,0.951057,1.4375,0.674455,0.674455,-0.67768
0.276,0,0.960451,1.44,0.732949,0.732949,-0.542144
0.277,0,0.969845,1.4425,0.791442,0.791442,-0.406608
0.278,0,0.979239,1.445,0.849936,0.849936,-0.271072
0.279,0,0.988633,1.4475,0.908429,0.908429,-0.135536
0.28,0,0.998027,1.45,0.966923,0.966923,2.09696e-14
0.281,0,0.994879,1.4525,1.01417,1.01417,0.138023
0.282,0,0.991731,1.455,1.06142,1.06142,0.276046
0.283,0,0.988583,1.4575,1.10867,1.10867,0.414069
0.284,0,0.985435,1.46,1.15592,1.15592,0.552092
0.285,0,0.982287,1.4625,1.20317,1.20317,0.690114
0.286,0,0.966795,1.465,1.23596,1.23596,0.821874
0.287,0,0.951303,1.4675,1.26876,1.26876,0.953633
0.288,0,0.935811,1.47,1.30155,1.30155,1.08539
0.289,0,0.920319,1.4725,1.33435,1.33435,1.21715
0.29,0,0.904827,1.475,1.36714,1.36714,1.34891
0.291,0,0.877964,1.4775,1.38314,1.38314,1.4659
0.292,0,0.851102,1.48,1.39914,1.39914,1.58288
0.293,0,0.824239,1.4825,1.41514,1.41514,1.69987
0.294,0,0.797376,1.485,1.43114,1.43114,1.81686
0.295,0,0.770513,1.4875,1.44714,1.44714,1.93385
0.296,0,0.733968,1.49,1.44503,1.44503,2.02834
0.297,0,0.697422,1.4925,1.44292,1.44292,2.12284
0.298,0,0.660876,1.495,1.44081,1.44081,2.21734
0.299,0,0.624331,1.4975,1.4387,1.4387,2.31184
0.3,0,0.587785,1.5,1.4366,1.4366,2.40633
0.301,0,0.543853,1.5025,1.4162,1.4162,2.47193
0.302,0,0.499921,1.505,1.39581,1.39581,2.53752
0.303,0,0.455989,1.5075,1.37541,1.37541,2.60311
0.304,0,0.412057,1.51,1.35501,1.35501,2.6687
0.305,0,0.368125,1.5125,1.33462,1.33462,2.73429
0.306,0,0.319566,1.515,1.29692,1.29692,2.76629
0.307,0,0.271008,1.5175,1.25923,1.25923,2.79828
0.308,0,0.22245,1.52,1.22153,1.22153,2.83028
0.309,0,0.173891,1.5225,1.18383,1.18383,2.86228
0.31,0,0.125333,1.525,1.14614,1.14614,2.89428
0.311,0,0.0751999,1.5275,1.09325,1.09325,2.89006
0.312,0,0.0250666,1.53,1.04035,1.04035,2.88584
0.313,0,-0.0250666,1.5325,0.987462,0.987462,2.88163
0.314,0,-0.0751999,1.535,0.93457,0.93457,2.87741
0.315,0,-0.125333,1.5375,0.881678,0.881678,2.87319
0.316,0,-0.173891,1.54,0.8167,0.8167,2.8324
0.317,0,-0.22245,1.5425,0.751722,0.751722,2.79161
0.318,0,-0.271008,1.545,0.686744,0.686744,2.75082
0.319,0,-0.319566,1.5475,0.621766,0.621766,2.71003
0.32,0,-0.368125,1.55,0.556788,0.556788,2.66924
0.321,0,-0.412057,1.5525,0.483657,0.483657,2.59385
0.322,0,-0.455989,1.555,0.410526,0.410526,2.51845
0.323,0,-0.499921,1.5575,0.337395,0.337395,2.44306
0.324,0,-0.543853,1.56,0.264264,0.264264,2.36767
0.325,0,-0.587785,1.5625,0.191133,0.191133,2.29228
0.326,0,-0.624331,1.565,0.114367,0.114367,2.18649
0.327,0,-0.660876,1.5675,0.0376,0.0376,2.08071
0.328,0,-0.697422,1.57,-0.0391666,-0.0391666,1.97492
0.329,0,-0.733968,1.5725,-0.115933,-0.115933,1.86914
0.33,0,-0.770513,1.575,-0.1927,-0.1927,1.76336
0.331,0,-0.797376,1.5775,-0.268278,-0.268278,1.6334
0.332,0,-0.824239,1.58,-0.343857,-0.343857,1.50344
0.333,0,-0.851102,1.5825,-0.419436,-0.419436,1.37349
0.334,0,-0.877964,1.585,-0.495014,-0.495014,1.24353
0.335,0,-0.904827,1.5875,-0.570593,-0.570593,1.11358
0.336,0,-0.920319,1.59,-0.640157,-0.640157,0.967315
0.337,0,-0.935811,1.5925,-0.709722,-0.709722,0.821053
0.338,0,-0.951303,1.595,-0.779286,-0.779286,0.674791
0.339,0,-0.966795,1.5975,-0.84885,-0.84885,0.528528
0.34,0,-0.982287,1.6,-0.918414,-0.918414,0.382266
0.341,0,-0.985435,1.6025,-0.977443,-0.977443,0.228733
0.342,0,-0.988583,1.605,-1.03647,-1.03647,0.0751999
0.343,0,-0.991731,1.6075,-1.0955,-1.0955,-0.0783333
0.344,0,-0.994879,1.61,-1.15453,-1.15453,-0.231866
0.345,0,-0.998027,1.6125,-1.21356,-1.21356,-0.3854
0.346,0,-0.988633,1.615,-1.25813,-1.25813,-0.536557
0.347,0,-0.979239,1.6175,-1.3027,-1.3027,-0.687714
0.348,0,-0.969845,1.62,-1.34727,-1.34727,-0.838872
0.349,0,-0.960451,1.6225,-1.39184,-1.39184,-0.990029
0.35,0,-0.951057,1.625,-1.43641,-1.43641,-1.14119
0.351,0,-0.929711,1.6275,-1.46346,-1.46346,-1.28031
0.352,0,-0.908365,1.63,-1.49051,-1.49051,-1.41944
0.353,0,-0.887019,1.6325,-1.51756,-1.51756,-1.55857
