"time","cs_adder1fmu1.y","cs_source1fmu1.y","cs_source1fmu2.y"
0.255,1.99423,1.38507,0.557684
0.256,1.99117,1.38937,0.549247
0.257,1.98812,1.39367,0.540811
0.258,1.98506,1.39796,0.532374
0.259,1.982,1.40226,0.523938
0.26,1.97894,1.40656,0.515501
0.261,1.9755,1.41079,0.506807
0.262,1.97206,1.41503,0.498113
0.263,1.96863,1.41926,0.489419
0.264,1.96519,1.42349,0.480725
0.265,1.96175,1.42773,0.472031
0.266,1.95795,1.4319,0.4631
0.267,1.95415,1.43607,0.45417
0.268,1.95035,1.44024,0.44524
0.269,1.94656,1.4444,0.43631
0.27,1.94276,1.44857,0.42738
0.271,1.93862,1.45268,0.418236
0.272,1.93448,1.45678,0.409092
0.273,1.93034,1.46089,0.399949
0.274,1.9262,1.46499,0.390805
0.275,1.92206,1.4691,0.381661
0.276,1.9176,1.47313,0.372326
0.277,1.91314,1.47717,0.362992
0.278,1.90868,1.48121,0.353657
0.279,1.90422,1.48525,0.344323
0.28,1.89976,1.48929,0.334988
0.281,1.895,1.49326,0.325486
0.282,1.89024,1.49723,0.315984
0.283,1.88548,1.5012,0.306482
0.284,1.88071,1.50517,0.29698
0.285,1.87595,1.50914,0.287478
0.286,1.87091,1.51305,0.277832
0.287,1.86588,1.51695,0.268187
0.288,1.86084,1.52085,0.258541
0.289,1.8558,1.52475,0.248895
0.29,1.85076,1.52866,0.239249
0.291,1.84546,1.53249,0.229484
0.292,1.84016,1.53633,0.219719
0.293,1.83487,1.54016,0.209953
0.294,1.82957,1.544,0.200188
0.295,1.82427,1.54783,0.190423
0.296,1.81874,1.55159,0.180562
0.297,1.81321,1.55536,0.170702
0.298,1.80768,1.55912,0.160841
0.299,1.80215,1.56289,0.150981
0.3,1.79662,1.56665,0.14112
0.301,1.79088,1.57035,0.131189
0.302,1.78513,1.57404,0.121258
0.303,1.77939,1.57774,0.111327
0.304,1.77365,1.58143,0.101396
0.305,1.76791,1.58513,0.0914646
0.306,1.76198,1.58875,0.0814878
0.307,1.75605,1.59237,0.0715111
0.308,1.75011,1.59599,0.0615343
0.309,1.74418,1.59962,0.0515575
0.31,1.73825,1.60324,0.0415807
0.311,1.73216,1.60679,0.0315831
0.312,1.72606,1.61034,0.0215855
0.313,1.71997,1.61389,0.0115879
0.314,1.71387,1.61744,0.00159033
0.315,1.70777,1.62099,-0.00840725
0.316,1.70154,1.62447,-0.0184006
0.317,1.6953,1.62795,-0.028394
0.318,1.68906,1.63143,-0.0383874
0.319,1.68283,1.63491,-0.0483808
0.32,1.67659,1.63838,-0.0583741
0.321,1.67024,1.64179,-0.0683383
0.322,1.66388,1.64519,-0.0783025
0.323,1.65753,1.6486,-0.0882667
0.324,1.65117,1.652,-0.0982309
0.325,1.64482,1.6554,-0.108195
0.326,1.63837,1.65873,-0.118105
0.327,1.63193,1.66206,-0.128015
0.328,1.62548,1.66539,-0.137925
0.329,1.61903,1.66872,-0.147836
0.33,1.61259,1.67205,-0.157746
0.331,1.60607,1.67531,-0.167577
0.332,1.59956,1.67856,-0.177408
0.333,1.59304,1.68182,-0.187239
0.334,1.58652,1.68507,-0.197071
0.335,1.58001,1.68832,-0.206902
0.336,1.57345,1.6915,-0.21663
0.337,1.56689,1.69468,-0.226358
