"time","left.out"
0.677,-0.896641
0.678,-0.899405
0.679,-0.902134
0.68,-0.904827
0.681,-0.907484
0.682,-0.910106
0.683,-0.912692
0.684,-0.915241
0.685,-0.917755
0.686,-0.920232
0.687,-0.922673
0.688,-0.925077
0.689,-0.927445
0.69,-0.929776
0.691,-0.932071
0.692,-0.934329
0.693,-0.93655
0.694,-0.938734
0.695,-0.940881
0.696,-0.942991
0.697,-0.945063
0.698,-0.947098
0.699,-0.949096
0.7,-0.951057
0.701,-0.952979
0.702,-0.954865
0.703,-0.956712
0.704,-0.958522
0.705,-0.960294
0.706,-0.962028
0.707,-0.963724
0.708,-0.965382
0.709,-0.967001
0.71,-0.968583
0.711,-0.970127
0.712,-0.971632
0.713,-0.973099
0.714,-0.974527
0.715,-0.975917
0.716,-0.977268
0.717,-0.978581
0.718,-0.979855
0.719,-0.981091
0.72,-0.982287
0.721,-0.983445
0.722,-0.984564
0.723,-0.985645
0.724,-0.986686
0.725,-0.987688
0.726,-0.988652
0.727,-0.989576
0.728,-0.990461
0.729,-0.991308
0.73,-0.992115
0.731,-0.992883
0.732,-0.993611
0.733,-0.994301
0.734,-0.994951
0.735,-0.995562
0.736,-0.996134
0.737,-0.996666
0.738,-0.997159
0.739,-0.997613
0.74,-0.998027
0.741,-0.998402
0.742,-0.998737
0.743,-0.999033
0.744,-0.999289
0.745,-0.999507
0.746,-0.999684
0.747,-0.999822
0.748,-0.999921
0.749,-0.99998
0.75,-1
0.751,-0.99998
0.752,-0.999921
0.753,-0.999822
0.754,-0.999684
0.755,-0.999507
0.756,-0.999289
0.757,-0.999033
0.758,-0.998737
0.759,-0.998402
0.76,-0.998027
0.761,-0.997613
0.762,-0.997159
0.763,-0.996666
0.764,-0.996134
0.765,-0.995562
0.766,-0.994951
0.767,-0.994301
0.768,-0.993611
0.769,-0.992883
0.77,-0.992115
0.771,-0.991308
0.772,-0.990461
0.773,-0.989576
0.774,-0.988652
0.775,-0.987688
0.776,-0.986686
0.777,-0.985645
0.778,-0.984564
0.779,-0.983445
0.78,-0.982287
0.781,-0.981091
0.782,-0.979855
0.783,-0.978581
0.784,-0.977268
0.785,-0.975917
0.786,-0.974527
0.787,-0.973099
0.788,-0.971632
0.789,-0.970127
0.79,-0.968583
0.791,-0.967001
0.792,-0.965382
0.793,-0.963724
0.794,-0.962028
0.795,-0.960294
0.796,-0.958522
0.797,-0.956712
0.798,-0.954865
0.799,-0.952979
0.8,-0.951057
0.801,-0.949096
0.802,-0.947098
0.803,-0.945063
